county,fips,cases,deaths,cfr
Baca,160180.0,150,0,0.0
Bacon,247095.0,186,1,0.005376344086021506
Baker,708267.0,473,52,0.10993657505285412
Baldwin,385345.0,1620,42,0.025925925925925925
Ballard,189063.0,17,0,0.0
Baltimore,888185.0,15662,289,0.018452304941897587
Baltimore city,808830.0,10866,244,0.022455365359838025
Bamberg,765153.0,97,0,0.0
Bandera,384152.0,15,0,0.0
Banks,234198.0,92,0,0.0
Bannock,384120.0,101,0,0.0
Baraga,26013.0,1,0,0.0
Barber,200070.0,10,0,0.0
Barbour,878086.0,161,0,0.0
Barnes,760060.0,40,0,0.0
Barnstable,850034.0,7714,190,0.024630541871921183
Barnwell,810198.0,61,0,0.0
Barren,357153.0,55,0,0.0
Barron,770070.0,70,0,0.0
Barrow,338338.0,764,55,0.07198952879581152
Barry,1311594.0,178,4,0.02247191011235955
Bartholomew,576160.0,1237,42,0.03395311236863379
Barton,340153.0,62,0,0.0
Bartow,481555.0,4290,212,0.04941724941724942
Bastrop,1296567.0,361,11,0.030470914127423823
Bates,783351.0,81,4,0.04938271604938271
Bath,315165.0,26,0,0.0
Baxter,105105.0,67,0,0.0
Bay,1234730.0,1206,26,0.02155887230514096
Bayfield,1595203.0,66,0,0.0
Beadle,1748190.0,512,23,0.044921875
Beaufort,2344728.0,3357,76,0.02263926124515937
Beauregard,594297.0,393,10,0.02544529262086514
Beaver,1702287.0,2068,154,0.07446808510638298
Beaverhead,390013.0,13,0,0.0
Becker,162030.0,11,0,0.0
Beckham,720162.0,20,0,0.0
Bedford,3121716.0,512,16,0.03125
Bee,432225.0,18,0,0.0
Belknap,990030.0,409,0,0.0
Bell,1680945.0,1477,41,0.027758970886932972
Belmont,1326442.0,621,20,0.0322061191626409
Beltrami,567147.0,93,0,0.0
Ben Hill,312408.0,120,0,0.0
Bennington,2050123.0,583,9,0.015437392795883362
Benton,6745670.0,5648,417,0.0738314447592068
Benzie,26019.0,1,0,0.0
Bergen,1496132.0,141970,5703,0.04017045854758047
Berkeley,2556492.0,2311,13,0.005625270445694505
Berks,1260330.0,11097,187,0.016851401279625124
Berkshire,1025123.0,5858,307,0.052406964834414475
Bernalillo,1295037.0,6287,187,0.029743916017178306
Berrien,936909.0,1537,47,0.03057905009759271
Bertie,851345.0,190,15,0.07894736842105263
Bethel Census Area,20500.0,10,0,0.0
Bexar,3121885.0,10752,365,0.033947172619047616
Bibb,395735.0,1270,16,0.012598425196850394
Bienville,594351.0,392,42,0.10714285714285714
Big Horn,490036.0,16,0,0.0
Big Stone,675275.0,25,0,0.0
Bingham,448308.0,46,0,0.0
Black Hawk,589403.0,627,0,0.0
Blackford,270135.0,60,2,0.03333333333333333
Bladen,555255.0,16,0,0.0
Blaine,544442.0,7721,73,0.009454733842766481
Blair,924286.0,149,0,0.0
Blanco,1104713.0,56,0,0.0
Bleckley,234414.0,26,0,0.0
Bledsoe,940140.0,71,0,0.0
