county,fips,cases,deaths,cfr
Cass,24864951.0,222384,4454,0.02002841931074178
Cassia,1571038.0,5315,91,0.017121354656632174
Castro,4854969.0,2577,87,0.033760186263096625
Caswell,3444069.0,4717,53,0.011235955056179775
Catahoula,2246550.0,7484,219,0.02926242650988776
Catawba,3740535.0,17434,370,0.02122289778593553
Catoosa,1291653.0,9682,82,0.00846932451972733
Catron,3150270.0,145,66,0.45517241379310347
Cattaraugus,3384846.0,6014,174,0.02893249085467243
Cavalier,380190.0,19,0,0.0
Cayuga,3565089.0,5963,85,0.014254569847392252
Cecil,2401500.0,24493,1391,0.056791736414485774
Cedar,6522354.0,4761,54,0.011342155009451797
Centre,4286754.0,11122,348,0.031289336450278725
Cerro Gordo,1903300.0,2464,40,0.016233766233766232
Chaffee,809515.0,5630,1289,0.22895204262877442
Chambers,4815709.0,36374,1829,0.050283169296750425
Champaign,5525958.0,38161,652,0.017085506145017165
Chariton,2758895.0,482,0,0.0
Charles,2617853.0,72487,4775,0.06587388083380469
Charles City,5307744.0,1903,110,0.057803468208092484
Charles Mix,5154576.0,1457,0,0.0
Charleston,5222204.0,71361,908,0.012724036938944241
Charlevoix,2837161.0,1483,96,0.06473364801078894
Charlotte,5821944.0,32729,3655,0.11167466161508142
Charlottesville city,5411700.0,8096,192,0.023715415019762844
Charlton,1461488.0,1958,64,0.03268641470888662
Chase,2629331.0,252,0,0.0
Chatham,5627494.0,78928,3238,0.04102473140077032
Chattahoochee,1240035.0,8453,5,0.0005915059742103396
Chattooga,1305500.0,1964,147,0.07484725050916496
Chautauqua,5314990.0,5804,219,0.03773259820813232
Chaves,3465495.0,3359,123,0.03661804108365585
Cheatham,4890184.0,7980,1,0.00012531328320802005
Cheboygan,2420883.0,1734,99,0.05709342560553633
Chelan,6254826.0,15824,587,0.037095551061678465
Chemung,3529470.0,10244,341,0.03328777821163608
Chenango,3745768.0,9660,131,0.013561076604554866
Cherokee,21061653.0,77388,2708,0.03499250529797902
Cherry,2699697.0,87,0,0.0
Chesapeake city,5051900.0,35804,896,0.025025136856217184
Cheshire,3366510.0,3997,166,0.041531148361270954
Chester,13740738.0,191182,16535,0.08648826772394891
Chesterfield,9924878.0,115906,2573,0.022199023346504927
Cheyenne,4312149.0,1094,0,0.0
Chickasaw,4419845.0,10363,878,0.0847245006272315
Chicot,481632.0,2236,39,0.01744186046511628
Childress,3461400.0,212,0,0.0
Chilton,99037.0,7719,105,0.013602798289933929
Chippewa,10107634.0,6492,43,0.0066235366605052375
Chisago,2756550.0,3483,88,0.025265575653172553
Chittenden,5550777.0,40887,2915,0.0712940543449018
Choctaw,6646255.0,14736,595,0.04037730727470141
Chowan,3259608.0,1035,0,0.0
Christian,6866369.0,14746,673,0.04563949545639495
Churchill,2496078.0,525,71,0.13523809523809524
Cibola,3430588.0,9404,423,0.0449808592088473
Cimarron,2801750.0,70,0,0.0
Citrus,1285819.0,10602,917,0.08649311450669685
Clackamas,4510550.0,27598,934,0.033843032103775636
Claiborne,9439130.0,12548,938,0.07475294867708002
Clallam,5459927.0,1967,0,0.0
Clare,2629535.0,1344,143,0.10639880952380952
Clarendon,4592754.0,21685,2351,0.10841595572976712
Clarion,3950914.0,2092,116,0.055449330783938815
Clark,33641120.0,627612,29006,0.046216452202953416
Clarke,10405992.0,42889,2382,0.05553871622094243
Clatsop,4018686.0,2542,0,0.0
Clay,41346328.0,94803,4779,0.050409797158317775
Clayton,3225869.0,90448,3776,0.0417477445604104
Clear Creek,874071.0,1321,70,0.05299015897047691
Clearfield,4119234.0,2851,0,0.0
Clearwater,2604866.0,285,0,0.0
Cleburne,632251.0,8382,442,0.05273204485802911
Clermont,3941525.0,13695,336,0.02453450164293538
Cleveland,8408904.0,50563,2938,0.05810572948598778
Clinch,1306500.0,3605,87,0.024133148404993063
Clinton,24116397.0,57173,2310,0.04040368705507845
Cloud,1782581.0,395,0,0.0
Coahoma,2914808.0,8443,283,0.033518891389316595
Coal,1681218.0,175,0,0.0
Cobb,1502705.0,212505,11841,0.05572104185783864
Cochise,404303.0,10130,184,0.018163869693978284
